,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15,2020-01-01T07:50:02.000000000Z,0,2020-01-28T18:50:02.000000000Z,11,2020-02-04T18:50:02.000000000Z,2,2020-01-01T07:50:02.000000000Z,0,2020-01-03T11:30:02.000000000Z,4,2020-01-05T16:10:02.000000000Z,6,2020-01-01T07:40:02.000000000Z,0,2020-01-01T07:45:02.000000000Z,0,2020-01-01T07:50:02.000000000Z,0,2020-02-18T18:50:02.000000000Z
16,2020-01-01T07:55:02.000000000Z,0,2020-01-28T18:55:02.000000000Z,11,2020-02-04T18:55:02.000000000Z,2,2020-01-01T07:55:02.000000000Z,0,2020-01-03T11:35:02.000000000Z,4,2020-01-05T16:15:02.000000000Z,6,2020-01-01T07:45:02.000000000Z,0,2020-01-01T07:50:02.000000000Z,0,2020-01-01T07:55:02.000000000Z,0,2020-02-18T18:55:02.000000000Z
17,2020-01-01T08:00:02.000000000Z,0,2020-01-28T19:00:02.000000000Z,11,2020-02-04T19:00:02.000000000Z,2,2020-01-01T08:00:02.000000000Z,0,2020-01-03T11:40:02.000000000Z,4,2020-01-05T16:20:02.000000000Z,6,2020-01-01T07:50:02.000000000Z,0,2020-01-01T07:55:02.000000000Z,0,2020-01-01T08:00:02.000000000Z,0,2020-02-18T19:00:02.000000000Z
18,2020-01-01T08:05:02.000000000Z,0,2020-01-28T19:05:02.000000000Z,11,2020-02-04T19:05:02.000000000Z,2,2020-01-01T08:05:02.000000000Z,0,2020-01-03T11:45:02.000000000Z,4,2020-01-05T16:25:02.000000000Z,6,2020-01-01T07:55:02.000000000Z,0,2020-01-01T08:00:02.000000000Z,0,2020-01-01T08:05:02.000000000Z,0,2020-02-18T19:05:01.000000000Z
19,2020-01-01T08:10:02.000000000Z,0,2020-01-28T19:10:02.000000000Z,11,2020-02-04T19:10:02.000000000Z,2,2020-01-01T08:10:02.000000000Z,0,2020-01-03T11:50:02.000000000Z,4,2020-01-05T16:30:02.000000000Z,6,2020-01-01T08:00:02.000000000Z,0,2020-01-01T08:05:02.000000000Z,0,2020-01-01T08:10:02.000000000Z,0,2020-02-18T19:10:02.000000000Z
20,2020-01-01T08:15:02.000000000Z,0,2020-01-28T19:15:02.000000000Z,11,2020-02-04T19:15:02.000000000Z,2,2020-01-01T08:15:02.000000000Z,0,2020-01-03T11:55:02.000000000Z,4,2020-01-05T16:35:02.000000000Z,6,2020-01-01T08:05:02.000000000Z,0,2020-01-01T08:10:02.000000000Z,0,2020-01-01T08:15:02.000000000Z,0,2020-02-18T19:15:02.000000000Z
21,2020-01-01T08:20:02.000000000Z,0,2020-01-28T19:20:02.000000000Z,11,2020-02-04T19:20:02.000000000Z,2,2020-01-01T08:20:02.000000000Z,0,2020-01-03T12:00:02.000000000Z,4,2020-01-05T16:40:02.000000000Z,6,2020-01-01T08:10:02.000000000Z,0,2020-01-01T08:15:02.000000000Z,0,2020-01-01T08:20:02.000000000Z,0,2020-02-18T19:20:02.000000000Z
22,2020-01-01T08:25:02.000000000Z,0,2020-01-28T19:25:02.000000000Z,11,2020-02-04T19:25:02.000000000Z,2,2020-01-01T08:25:02.000000000Z,0,2020-01-03T12:05:02.000000000Z,4,2020-01-05T16:45:02.000000000Z,6,2020-01-01T08:15:02.000000000Z,0,2020-01-01T08:20:02.000000000Z,0,2020-01-01T08:25:02.000000000Z,0,2020-02-18T19:25:02.000000000Z
23,2020-01-01T08:30:02.000000000Z,0,2020-01-28T19:30:02.000000000Z,11,2020-02-04T19:30:02.000000000Z,2,2020-01-01T08:30:02.000000000Z,0,2020-01-03T12:10:02.000000000Z,4,2020-01-05T16:50:02.000000000Z,6,2020-01-01T08:20:02.000000000Z,0,2020-01-01T08:25:02.000000000Z,0,2020-01-01T08:30:02.000000000Z,0,2020-02-18T19:30:02.000000000Z
24,2020-01-01T08:35:02.000000000Z,0,2020-01-28T19:35:02.000000000Z,11,2020-02-04T19:35:02.000000000Z,2,2020-01-01T08:35:02.000000000Z,0,2020-01-03T12:15:02.000000000Z,4,2020-01-05T16:55:02.000000000Z,6,2020-01-01T08:25:02.000000000Z,0,2020-01-01T08:30:02.000000000Z,0,2020-01-01T08:35:02.000000000Z,0,2020-02-18T19:35:02.000000000Z
